order_item_id,order_id,product_id,quantity,unit_price,line_total
22,6,7,2,784.5,1569.0
35,10,314,4,111873.03,447492.12
63,17,173,5,307.23,1536.15
83,23,24,2,8318.44,16636.88
89,26,14,2,3356.62,6713.24
93,27,201,2,1559.8,3119.6
101,30,86,4,68088.99,272355.96
103,31,14,3,3356.62,10069.86
134,40,75,4,95364.86,381459.44
136,40,213,4,37437.66,149750.64
166,49,43,5,1982.92,9914.6
173,51,153,5,13899.18,69495.9
176,52,59,2,1844.33,3688.66
212,63,500,3,139955.33,419865.99
221,66,69,4,1212.72,4850.88
238,72,24,3,8318.44,24955.32
239,73,32,5,18130.42,90652.1
247,75,23,1,6633.18,6633.18
255,77,34,1,2248.71,2248.71
259,79,26,3,3169.73,9509.19
264,82,63,1,80967.69,80967.69
265,82,10,3,7562.39,22687.17
275,85,586,2,98317.49,196634.98
277,86,41,1,2488.55,2488.55
283,88,201,5,1559.8,7799.0
284,88,399,2,36282.21,72564.42
288,90,103,3,12616.89,37850.67
289,90,251,1,24432.2,24432.2
295,92,47,5,16326.14,81630.7
322,98,162,3,3942.73,11828.19
325,99,46,1,1082.64,1082.64
329,100,17,3,425.35,1276.05
331,101,103,3,12616.89,37850.67
356,108,27,3,71929.16,215787.48
358,109,86,3,68088.99,204266.97
369,114,65,5,13328.64,66643.2
398,123,34,2,2248.71,4497.42
418,129,59,3,1844.33,5532.99
420,131,187,3,2462.4,7387.2
442,138,59,1,1844.33,1844.33
447,139,48,4,100885.13,403540.52
448,139,153,3,13899.18,41697.54
457,143,27,2,71929.16,143858.32
474,147,19,1,92386.4,92386.4
479,148,212,5,54509.32,272546.6
481,149,82,3,2079.75,6239.25
484,149,12,1,6242.95,6242.95
498,152,86,2,68088.99,136177.98
504,154,213,2,37437.66,74875.32
516,160,187,3,2462.4,7387.2
521,161,314,4,111873.03,447492.12
529,165,87,5,49914.35,249571.75
544,171,251,2,24432.2,48864.4
550,173,41,2,2488.55,4977.1
557,176,95,3,16613.76,49841.28
