order_id,customer_id,order_date,order_status,total_amount
1,8254.0,2026-03-02,Returned,20942.36
2,9119.0,2025-03-26,Delivered,25531.64
3,5640.0,2026-01-30,Shipped,307722.11
4,2578.0,2025-11-09,Delivered,41921.5
5,5722.0,2026-06-21,Processing,486712.89
6,6425.0,2026-03-25,Returned,272661.92
7,67.0,2025-11-15,Delivered,819709.8
8,4130.0,2025-03-11,Shipped,1642.26
9,777.0,2025-06-04,Returned,36496.17
10,6072.0,2025-03-30,Processing,521853.28
11,8615.0,2025-02-04,Returned,746664.96
12,8479.0,2025-08-23,Pending,21350.97
13,2035.0,2024-07-28,Shipped,1136011.14
14,6603.0,2025-07-19,Pending,70775.9
15,3691.0,2025-06-04,Shipped,49618.82
16,5255.0,2025-12-30,Shipped,486838.95
17,3443.0,2025-04-26,Processing,157740.75
18,703.0,2025-07-22,Processing,46568.45
19,33.0,2025-05-13,Processing,389558.45
20,473.0,2025-04-16,Processing,221281.68
21,5882.0,2026-04-10,Processing,1782.2
22,8134.0,2025-08-27,Pending,214228.71
23,5214.0,2024-08-12,Shipped,28933.26
24,1603.0,2025-04-30,Shipped,37207.66
25,672.0,2025-03-31,Returned,221729.9
26,3089.0,2024-09-04,Shipped,421326.08
27,3228.0,2025-01-09,Delivered,65634.66
28,5156.0,2025-12-11,Delivered,7503.3
29,5648.0,2026-05-15,Returned,470419.47
30,1693.0,2025-03-20,Shipped,318556.68
31,5564.0,2025-06-27,Shipped,13802.91
32,2944.0,2025-07-29,Delivered,1219.2
33,7465.0,2025-07-03,Processing,62507.2
34,1360.0,2025-01-24,Returned,85742.46
35,728.0,2025-01-17,Returned,150128.26
36,7737.0,2026-04-04,Shipped,55402.49
37,800.0,2025-09-11,Cancelled,54904.15
38,382.0,2025-08-15,Pending,79432.37
39,6274.0,2025-05-19,Shipped,584364.63
40,1604.0,2024-06-27,Cancelled,563882.18
41,9091.0,2024-07-10,Processing,14537.12
42,3328.0,2025-03-05,Cancelled,95405.02
43,543.0,2025-04-19,Processing,46209.55
44,1828.0,2025-06-26,Shipped,33004.86
45,5587.0,2026-05-09,Pending,347013.02
46,2344.0,2025-05-15,Pending,15003.67
47,29.0,2025-12-26,Returned,71063.35
48,3850.0,2024-11-09,Delivered,296898.64
49,6589.0,2024-06-30,Processing,611456.1
50,354.0,2025-11-06,Cancelled,8214.99
51,545.0,2024-08-07,Processing,381074.88
52,9236.0,2026-05-08,Returned,28045.46
53,7514.0,2025-03-17,Cancelled,168010.8
54,5773.0,2024-12-18,Cancelled,69369.64
55,9171.0,2024-09-26,Cancelled,108712.35
56,1878.0,2025-07-09,Cancelled,77543.2
57,3307.0,2025-11-14,Pending,18382.81
58,5621.0,2025-08-05,Pending,21774.81
59,4084.0,2025-06-12,Processing,51357.24
60,86.0,2024-08-21,Cancelled,180024.64
61,8232.0,2025-12-15,Processing,9096.61
62,1749.0,2025-11-06,Shipped,593309.0
63,8259.0,2024-07-14,Returned,465552.27
64,9781.0,2025-05-01,Delivered,12791.19
65,423.0,2025-10-12,Delivered,808443.67
66,5672.0,2025-07-31,Returned,206129.13
67,3852.0,2025-07-09,Shipped,1037396.83
68,4078.0,2025-02-28,Processing,82229.65
69,2727.0,2025-07-02,Returned,184924.28
70,8933.0,2025-12-25,Delivered,686714.66
71,9574.0,2025-09-15,Shipped,78423.72
72,2790.0,2024-11-24,Processing,24955.32
73,804.0,2026-06-19,Returned,212834.06
74,8530.0,2026-03-25,Processing,85904.15
75,9357.0,2024-07-20,Shipped,24636.41
76,5087.0,2025-07-16,Returned,146100.01
77,2694.0,2026-01-15,Processing,87390.1
78,578.0,2026-01-01,Delivered,32563.17
79,8946.0,2026-05-16,Processing,36886.81
80,2255.0,2026-01-25,Delivered,16038.28
81,5855.0,2026-03-26,Delivered,19964.82
82,683.0,2025-01-29,Cancelled,109492.54
83,5127.0,2024-09-07,Pending,22452.16
84,3363.0,2025-06-12,Delivered,95810.47
85,6867.0,2026-05-10,Pending,226178.31
86,3391.0,2025-05-24,Pending,15048.99
87,9612.0,2025-09-20,Pending,64349.13
88,1935.0,2025-12-09,Pending,80363.42
89,6600.0,2026-03-21,Pending,324665.46
90,1467.0,2026-03-25,Delivered,94863.7
91,7787.0,2026-06-14,Delivered,312954.26
92,4531.0,2025-05-30,Pending,708083.81
93,2629.0,2024-10-02,Cancelled,61881.03
94,2414.0,2025-10-04,Cancelled,83538.72
95,9985.0,2025-05-29,Delivered,208674.29
96,1554.0,2025-01-21,Delivered,31215.66
97,8926.0,2024-10-25,Pending,672442.58
98,616.0,2025-10-10,Delivered,17382.45
99,7589.0,2025-05-09,Returned,5925.58
100,4959.0,2025-02-13,Processing,801161.43
101,5875.0,2025-09-01,Returned,64396.37
102,5920.0,2025-07-12,Returned,71071.12
103,7033.0,2025-06-14,Processing,71874.1
104,4826.0,2025-07-29,Processing,142275.85
105,7364.0,2025-12-31,Processing,5583.65
106,1778.0,2025-07-06,Pending,57733.15
107,2246.0,2026-01-24,Returned,71949.02
108,2275.0,2025-02-02,Delivered,715493.57
109,5769.0,2025-11-08,Delivered,231485.58
110,1723.0,2025-04-25,Delivered,4271.1
111,7575.0,2024-08-25,Delivered,29546.52
112,6054.0,2025-07-30,Cancelled,752359.68
113,9655.0,2025-05-07,Processing,141316.66
114,3114.0,2025-02-15,Cancelled,186808.01
115,1691.0,2025-12-26,Returned,582857.86
116,4447.0,2024-08-31,Processing,158855.45
117,3667.0,2026-03-28,Shipped,482822.35
118,1441.0,2026-04-17,Processing,170459.83
119,7551.0,2024-08-20,Shipped,3453.67
120,280.0,2024-10-23,Delivered,59394.85
121,7052.0,2024-09-22,Shipped,31469.07
122,7209.0,2026-04-10,Cancelled,185814.03
123,705.0,2026-03-09,Shipped,663835.58
124,1207.0,2024-10-24,Pending,57877.45
125,8448.0,2024-08-24,Pending,11624.32
126,7952.0,2025-11-21,Shipped,118935.52
127,8145.0,2025-06-29,Pending,142485.34
128,7665.0,2025-12-22,Pending,24405.05
129,2611.0,2024-07-15,Delivered,78491.8
130,9958.0,2025-05-16,Cancelled,4553.94
131,1132.0,2025-06-24,Processing,344367.0
132,8438.0,2026-05-23,Processing,97757.17
133,1485.0,2024-12-25,Processing,62386.89
134,1351.0,2026-06-14,Delivered,47927.58
135,3276.0,2025-01-26,Returned,4444.12
136,4428.0,2024-12-09,Cancelled,21375.5
137,6173.0,2025-11-16,Delivered,263234.4
138,9335.0,2025-08-18,Processing,101371.14
139,3745.0,2025-04-12,Pending,481089.48
140,8561.0,2025-11-21,Cancelled,14693.35
141,8066.0,2025-03-23,Returned,37484.44
