order_item_id,order_id,product_id,quantity,unit_price,line_total
35,10,314,4,111873.03,447492.12
89,26,14,2,3356.62,6713.24
93,27,201,2,1559.8,3119.6
101,30,86,4,68088.99,272355.96
134,40,75,4,95364.86,381459.44
136,40,213,4,37437.66,149750.64
166,49,43,5,1982.92,9914.6
176,52,59,2,1844.33,3688.66
239,73,32,5,18130.42,90652.1
247,75,23,1,6633.18,6633.18
255,77,34,1,2248.71,2248.71
259,79,26,3,3169.73,9509.19
264,82,63,1,80967.69,80967.69
265,82,10,3,7562.39,22687.17
275,85,586,2,98317.49,196634.98
277,86,41,1,2488.55,2488.55
288,90,103,3,12616.89,37850.67
289,90,251,1,24432.2,24432.2
325,99,46,1,1082.64,1082.64
329,100,17,3,425.35,1276.05
331,101,103,3,12616.89,37850.67
358,109,86,3,68088.99,204266.97
398,123,34,2,2248.71,4497.42
442,138,59,1,1844.33,1844.33
447,139,48,4,100885.13,403540.52
448,139,153,3,13899.18,41697.54
474,147,19,1,92386.4,92386.4
479,148,212,5,54509.32,272546.6
498,152,86,2,68088.99,136177.98
504,154,213,2,37437.66,74875.32
521,161,314,4,111873.03,447492.12
529,165,87,5,49914.35,249571.75
544,171,251,2,24432.2,48864.4
561,177,11,5,5436.73,27183.65
573,181,116,4,134846.1,539384.4
587,184,41,2,2488.55,4977.1
601,188,11,5,5436.73,27183.65
616,192,428,2,121678.24,243356.48
654,204,18,3,7176.16,21528.48
656,204,126,1,4840.72,4840.72
659,205,79,2,79743.69,159487.38
666,207,14,2,3356.62,6713.24
681,213,56,2,542.0,1084.0
686,214,65,2,13328.64,26657.28
696,217,399,4,36282.21,145128.84
704,219,101,3,59178.18,177534.54
719,223,329,5,1582.42,7912.1
760,234,34,3,2248.71,6746.13
771,237,28,4,10119.91,40479.64
772,237,201,4,1559.8,6239.2
773,237,50,3,1962.94,5888.82
802,246,314,2,111873.03,223746.06
806,247,176,3,6987.98,20963.94
816,250,48,5,100885.13,504425.65
849,260,292,4,7121.26,28485.04
858,264,123,2,134809.65,269619.3
868,268,27,3,71929.16,215787.48
893,276,1,2,5230.44,10460.88
904,279,500,3,139955.33,419865.99
935,291,588,5,16682.52,83412.6
956,299,36,5,144804.33,724021.65
975,304,22,2,2070.3,4140.6
993,310,27,5,71929.16,359645.8
996,312,2,5,19051.9,95259.5
1040,325,4,2,2240.39,4480.78
1043,326,187,1,2462.4,2462.4
1044,326,91,5,2378.31,11891.55
1047,327,162,3,3942.73,11828.19
1058,329,314,1,111873.03,111873.03
1062,331,55,3,1633.27,4899.81
1066,332,36,4,144804.33,579217.32
1125,352,68,2,7849.25,15698.5
1130,353,171,1,1502.98,1502.98
1132,353,292,2,7121.26,14242.52
1142,357,10,2,7562.39,15124.78
1161,363,5,5,2236.52,11182.6
1184,371,34,3,2248.71,6746.13
1207,380,46,1,1082.64,1082.64
1211,381,24,2,8318.44,16636.88
1214,382,67,2,10384.38,20768.76
1229,386,171,5,1502.98,7514.9
1240,390,217,2,39628.35,79256.7
1253,393,221,1,40271.97,40271.97
1255,394,29,4,8163.03,32652.12
1256,394,11,5,5436.73,27183.65
1268,397,148,4,8171.55,32686.2
1299,406,399,2,36282.21,72564.42
1300,406,58,5,6122.36,30611.8
1304,407,36,1,144804.33,144804.33
1322,413,399,2,36282.21,72564.42
1363,425,187,1,2462.4,2462.4
1395,435,428,1,121678.24,121678.24
1400,438,23,3,6633.18,19899.54
1454,457,63,1,80967.69,80967.69
1463,459,17,1,425.35,425.35
1485,469,213,4,37437.66,149750.64
1497,473,173,5,307.23,1536.15
1518,479,39,5,44596.1,222980.5
1587,500,399,1,36282.21,36282.21
1593,502,77,2,10405.44,20810.88
1625,511,50,2,1962.94,3925.88
1646,517,58,2,6122.36,12244.72
1680,531,123,1,134809.65,134809.65
1689,535,82,4,2079.75,8319.0
1692,535,55,3,1633.27,4899.81
1727,548,111,2,80943.94,161887.88
1750,557,76,3,7097.94,21293.82
1778,568,28,5,10119.91,50599.55
1788,571,176,1,6987.98,6987.98
1794,575,385,1,148954.99,148954.99
1808,581,46,1,1082.64,1082.64
1815,583,292,3,7121.26,21363.78
1819,585,17,3,425.35,1276.05
1821,585,134,3,1847.89,5543.67
1822,585,159,4,139137.03,556548.12
1843,592,171,4,1502.98,6011.92
1891,605,345,3,147184.47,441553.41
1925,616,162,5,3942.73,19713.65
1932,620,46,4,1082.64,4330.56
1949,624,134,5,1847.89,9239.45
1961,628,5,3,2236.52,6709.56
1964,629,31,5,7698.27,38491.35
1965,629,187,2,2462.4,4924.8
1968,630,95,5,16613.76,83068.8
1976,634,75,4,95364.86,381459.44
1979,634,7,3,784.5,2353.5
2009,645,148,3,8171.55,24514.65
2082,671,6,3,123438.88,370316.64
2083,671,56,1,542.0,542.0
2086,672,428,1,121678.24,121678.24
2101,677,9,1,6757.67,6757.67
2118,683,77,4,10405.44,41621.76
2140,691,65,4,13328.64,53314.56
2189,708,213,1,37437.66,37437.66
2226,721,213,3,37437.66,112312.98
2251,730,309,2,2852.38,5704.76
2252,730,29,4,8163.03,32652.12
2253,730,8,5,532.39,2661.95
2254,730,79,3,79743.69,239231.07
2257,731,274,2,92589.08,185178.16
2263,733,244,5,147162.42,735812.1
2274,736,56,1,542.0,542.0
2275,737,309,5,2852.38,14261.9
2277,737,217,5,39628.35,198141.75
