order_id,customer_id,order_date,order_status,total_amount
1,8254,2026-03-02,Returned,20942.36
3,5640,2026-01-30,Shipped,307722.11
5,5722,2026-06-21,Processing,486712.89
7,67,2025-11-15,Delivered,819709.8
8,4130,2025-03-11,Shipped,1642.26
10,6072,2025-03-30,Processing,521853.28
11,8615,2025-02-04,Returned,746664.96
12,8479,2025-08-23,Pending,21350.97
16,5255,2025-12-30,Shipped,486838.95
18,703,2025-07-22,Processing,46568.45
19,33,2025-05-13,Processing,389558.45
22,8134,2025-08-27,Pending,214228.71
26,3089,2024-09-04,Shipped,421326.08
27,3228,2025-01-09,Delivered,65634.66
29,5648,2026-05-15,Returned,470419.47
30,1693,2025-03-20,Shipped,318556.68
34,1360,2025-01-24,Returned,85742.46
37,800,2025-09-11,Cancelled,54904.15
38,382,2025-08-15,Pending,79432.37
39,6274,2025-05-19,Shipped,584364.63
40,1604,2024-06-27,Cancelled,563882.18
42,3328,2025-03-05,Cancelled,95405.02
43,543,2025-04-19,Processing,46209.55
45,5587,2026-05-09,Pending,347013.02
48,3850,2024-11-09,Delivered,296898.64
49,6589,2024-06-30,Processing,611456.1
50,354,2025-11-06,Cancelled,8214.99
52,9236,2026-05-08,Returned,28045.46
54,5773,2024-12-18,Cancelled,69369.64
55,9171,2024-09-26,Cancelled,108712.35
56,1878,2025-07-09,Cancelled,77543.2
57,3307,2025-11-14,Pending,18382.81
58,5621,2025-08-05,Pending,21774.81
60,86,2024-08-21,Cancelled,180024.64
64,9781,2025-05-01,Delivered,12791.19
65,423,2025-10-12,Delivered,808443.67
73,804,2026-06-19,Returned,212834.06
75,9357,2024-07-20,Shipped,24636.41
76,5087,2025-07-16,Returned,146100.01
77,2694,2026-01-15,Processing,87390.1
78,578,2026-01-01,Delivered,32563.17
79,8946,2026-05-16,Processing,36886.81
80,2255,2026-01-25,Delivered,16038.28
82,683,2025-01-29,Cancelled,109492.54
83,5127,2024-09-07,Pending,22452.16
85,6867,2026-05-10,Pending,226178.31
86,3391,2025-05-24,Pending,15048.99
90,1467,2026-03-25,Delivered,94863.7
91,7787,2026-06-14,Delivered,312954.26
93,2629,2024-10-02,Cancelled,61881.03
95,9985,2025-05-29,Delivered,208674.29
96,1554,2025-01-21,Delivered,31215.66
99,7589,2025-05-09,Returned,5925.58
100,4959,2025-02-13,Processing,801161.43
101,5875,2025-09-01,Returned,64396.37
102,5920,2025-07-12,Returned,71071.12
103,7033,2025-06-14,Processing,71874.1
105,7364,2025-12-31,Processing,5583.65
107,2246,2026-01-24,Returned,71949.02
109,5769,2025-11-08,Delivered,231485.58
110,1723,2025-04-25,Delivered,4271.1
111,7575,2024-08-25,Delivered,29546.52
112,6054,2025-07-30,Cancelled,752359.68
115,1691,2025-12-26,Returned,582857.86
117,3667,2026-03-28,Shipped,482822.35
118,1441,2026-04-17,Processing,170459.83
119,7551,2024-08-20,Shipped,3453.67
120,280,2024-10-23,Delivered,59394.85
122,7209,2026-04-10,Cancelled,185814.03
123,705,2026-03-09,Shipped,663835.58
124,1207,2024-10-24,Pending,57877.45
