product_id,product_name,category,brand,price,stock
1,Prestige Cookware,Home & Kitchen,Prestige,5230.44,250
2,Bajaj Dining Table,Home & Kitchen,Bajaj,19051.9,122
3,Adidas T-Shirt,Fashion,Adidas,4217.5,383
4,O'Reilly Python Programming,Books,O'Reilly,2240.39,93
5,O'Reilly Machine Learning,Books,O'Reilly,2236.52,290
6,Samsung Laptop,Electronics,Samsung,123438.88,151
7,Prestige Bottle,Home & Kitchen,Prestige,784.5,288
8,Bajaj Vacuum Cleaner,Home & Kitchen,Bajaj,532.39,97
9,SG Yoga Mat,Sports,SG,6757.67,471
10,Zara Jacket,Fashion,Zara,7562.39,425
11,Nike Shoes,Fashion,Nike,5436.73,208
12,Prestige Dining Table,Home & Kitchen,Prestige,6242.95,170
13,Puma Jacket,Fashion,Puma,7625.85,364
14,Levis T-Shirt,Fashion,Levis,3356.62,470
15,Nike Jeans,Fashion,Nike,3796.91,398
17,Adidas Shoes,Fashion,Adidas,425.35,487
18,Yonex Dumbbells,Sports,Yonex,7176.16,478
19,Sony Mouse,Electronics,Sony,92386.4,419
20,Samsung Keyboard,Electronics,Samsung,134870.19,50
22,Nike T-Shirt,Fashion,Nike,2070.3,366
23,Nivia Cricket Bat,Sports,Nivia,6633.18,175
24,Yonex Yoga Mat,Sports,Yonex,8318.44,244
25,SG Football,Sports,SG,4295.09,157
26,SG Cricket Bat,Sports,SG,3169.73,394
27,Sony Printer,Electronics,Sony,71929.16,232
28,Bajaj Mixer,Home & Kitchen,Bajaj,10119.91,108
29,Yonex Football,Sports,Yonex,8163.03,337
31,Yonex Cricket Bat,Sports,Yonex,7698.27,417
32,Bajaj Cookware,Home & Kitchen,Bajaj,18130.42,195
33,Apple Smart Watch,Electronics,Apple,20105.97,68
34,Philips Dining Table,Home & Kitchen,Philips,2248.71,484
36,Samsung Tablet,Electronics,Samsung,144804.33,78
39,Samsung Mouse,Electronics,Samsung,44596.1,160
41,McGraw Hill Python Programming,Books,McGraw Hill,2488.55,119
42,O'Reilly SQL Essentials,Books,O'Reilly,2103.18,50
43,Pearson Data Science,Books,Pearson,1982.92,369
